Year,School_Name,School_Type,School_Category,Ownership_Type,Classes,Students
2015,J.W.v.Goethe,Community School,General Education School System,Municipal,3,61
2015,E.Wille,Community School,General Education School System,Municipal,5,107
2015,A.W.Francke,Community School,General Education School System,Municipal,6,128
2015,H.Heine,Community School,General Education School System,Municipal,4,80
2015,Th.Mann,Community School,General Education School System,Municipal,4,107
2015,H.Schellheimer Sp.Sek.,Secondary School,General Education School System,Municipal,13,268
2015,LebenLernen,Secondary School,General Education School System,Independent/Private,6,143
2015,Hegel - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,38,951
2015,A. - Einstein - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,34,785
2015,Geschw. - Scholl - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,34,842
2015,Gymnasium W. - v. - Siemens,Grammar School (Gymnasium),General Education School System,Municipal,24,575
2015,Sportgymnasium Magdeburg,Grammar School (Gymnasium),General Education School System,Municipal,28,583
2015,Norbertusgymnasium,Grammar School (Gymnasium),General Education School System,Independent/Private,35,899
2015,Ökumenisches Domgymnasium,Grammar School (Gymnasium),General Education School System,Independent/Private,32,867
2015,"IGS ""W. Brandt""",Integrated Comprehensive School (IGS),General Education School System,Municipal,37,848
2015,"IGS ""Regine Hildebrandt""",Integrated Comprehensive School (IGS),General Education School System,Municipal,41,1012
2015,Comenius,Special Needs School,General Education School System,Municipal,14,150
2015,Salzmann,Special Needs School,General Education School System,Municipal,17,187
2015,Kästner,Special Needs School,General Education School System,Municipal,11,114
2015,Anne Frank,Special Needs School,General Education School System,Municipal,9,114
2015,Fermersl. Weg,Special Needs School,General Education School System,Municipal,15,110
2015,Makarenkoschule,Special Needs School,General Education School System,Municipal,12,102
2015,Regenbogen,Special Needs School,General Education School System,Municipal,13,105
2015,Am Wasserfall,Special Needs School,General Education School System,Municipal,15,114
2015,H. Kükelhaus,Special Needs School,General Education School System,Municipal,12,89
2015,"BbS ""O. v. Guericke"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,116,2037
2015,"BbS ""H. Beims"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,56,817
2015,"BbS ""Eike v. Repgow"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,96,1832
2015,"BbS ""Dr. O. Schlein"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,15,273
2015,"BbS ""O. v. Guericke"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,26,622
2015,"BbS ""H. Beims"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,28,383
2015,"BbS ""Eike v. Repgow"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,6,76
2015,"BbS ""Dr. O. Schlein"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,50,1054
2015,Evangelische Sek.,Secondary School,General Education School System,Independent/Private,6,114
2015,Leipziger Straße,Primary School,General Education School System,Municipal,18,383
2015,Freie Waldorfschule,Waldorf School,General Education School System,Independent/Private,23,530
2015,Abendgymnasium,Evening Grammar School,Schools of Second Education Pathway (Adult Education),Municipal,3,33
2015,Kolleg,Adult Education College (Kolleg),Schools of Second Education Pathway (Adult Education),Municipal,9,156
2015,Abendsekundarschule,Evening Secondary School,Schools of Second Education Pathway (Adult Education),Municipal,3,77
2015,Domgrundschule,Primary School,General Education School System,Independent/Private,6,135
2015,Neue Schule,New School,General Education School System,Municipal,7,113
2015,G.W.Leibniz Sek,Secondary School,General Education School System,Municipal,13,280
2015,W.Weitling Sek,Secondary School,General Education School System,Municipal,8,169
2015,O.Linke Sek,Secondary School,General Education School System,Municipal,10,219
2015,J.W.v.Goethe*,Community School,General Education School System,Municipal,2,43
2015,E.Wille Sek,Secondary School,General Education School System,Municipal,8,187
2015,A.W.Francke Sek,Secondary School,General Education School System,Municipal,9,201
2015,H.Heine Sek,Secondary School,General Education School System,Municipal,9,167
2015,Th.Mann Sek,Secondary School,General Education School System,Municipal,8,167
2015,Stadtfeld,Primary School,General Education School System,Municipal,12,232
2015,Th. Müntzer,Community School,General Education School System,Municipal,2,46
2015,Th. Müntzer Sek,Secondary School,General Education School System,Municipal,15,281
2015,Editha-Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,8,175
2014,Hegelstr.,Primary School,General Education School System,Municipal,7,115
2014,Weitlingstr.,Primary School,General Education School System,Municipal,8,153
2014,Im Nordpark,Primary School,General Education School System,Municipal,9,184
2014,Am Umfassungsweg,Primary School,General Education School System,Municipal,8,152
2014,An der Klosterwuhne,Primary School,General Education School System,Municipal,15,298
2014,Am Vogelgesang,Primary School,General Education School System,Municipal,11,237
2014,Am Kannenstieg,Primary School,General Education School System,Municipal,11,221
2014,Kritzmannstraße,Primary School,General Education School System,Municipal,8,162
2014,Nordwest,Primary School,General Education School System,Municipal,10,196
2014,Alt Olvenstedt,Primary School,General Education School System,Municipal,8,140
2014,Am Fliederhof,Primary School,General Education School System,Municipal,8,138
2014,Am Grenzweg,Primary School,General Education School System,Municipal,10,201
2014,Am Westernplan,Primary School,General Education School System,Municipal,12,224
2014,Annastr.,Primary School,General Education School System,Municipal,12,241
2014,Am Glacis,Primary School,General Education School System,Municipal,8,165
2014,Am Westring,Primary School,General Education School System,Municipal,8,154
2014,Schmeilstr.,Primary School,General Education School System,Municipal,4,80
2014,Diesdorf,Primary School,General Education School System,Municipal,9,173
2014,Amsdorfstr.,Primary School,General Education School System,Municipal,9,176
2014,Friedenshöhe,Primary School,General Education School System,Municipal,10,206
2014,Ottersleben,Primary School,General Education School System,Municipal,19,435
2014,Lindenhof,Primary School,General Education School System,Municipal,16,316
2014,Am Hopfengarten,Primary School,General Education School System,Municipal,8,185
2014,Buckau,Primary School,General Education School System,Municipal,8,154
2014,Salbke,Primary School,General Education School System,Municipal,10,189
2014,Westerhüsen,Primary School,General Education School System,Municipal,5,83
2014,Am Elbdamm,Primary School,General Education School System,Municipal,8,151
2014,Am Brückfeld,Primary School,General Education School System,Municipal,8,180
2014,Am Pechauer Platz,Primary School,General Education School System,Municipal,10,198
2014,Rothensee,Primary School,General Education School System,Municipal,5,92
2014,St. Mechthild,Primary School,General Education School System,Independent/Private,8,164
2014,Freie GS,Primary School,General Education School System,Independent/Private,4,97
2014,Evangelische GS MD,Primary School,General Education School System,Independent/Private,8,163
2014,Dreispr. Internat. GS,Primary School,General Education School System,Independent/Private,8,172
2014,G.W.Leibniz,Community School,General Education School System,Municipal,2,29
2014,Th.Müntzer,Community School,General Education School System,Municipal,2,41
2014,W.Weitling,Community School,General Education School System,Municipal,5,100
2014,O.Linke,Community School,General Education School System,Municipal,2,34
2014,J.W.v.Goethe,Community School,General Education School System,Municipal,2,31
2014,E.Wille,Community School,General Education School System,Municipal,3,60
2014,A.W.Francke,Community School,General Education School System,Municipal,3,52
2014,H.Heine,Community School,General Education School System,Municipal,2,31
2014,Th.Mann,Community School,General Education School System,Municipal,2,56
2014,H.Schellheimer Sp.Sek.,Secondary School,General Education School System,Municipal,13,270
2014,LebenLernen,Secondary School,General Education School System,Independent/Private,6,139
2014,Hegel - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,37,940
2014,A. - Einstein - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,35,850
2014,Geschw. - Scholl - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,37,871
2014,Gymnasium W. - v. - Siemens,Grammar School (Gymnasium),General Education School System,Municipal,24,561
2014,Sportgymnasium Magdeburg,Grammar School (Gymnasium),General Education School System,Municipal,28,571
2014,Norbertusgymnasium,Grammar School (Gymnasium),General Education School System,Independent/Private,36,890
2014,Ökumenisches Domgymnasium,Grammar School (Gymnasium),General Education School System,Independent/Private,32,856
2014,"IGS ""W. Brandt""",Integrated Comprehensive School (IGS),General Education School System,Municipal,35,851
2014,"IGS ""Regine Hildebrandt""",Integrated Comprehensive School (IGS),General Education School System,Municipal,39,974
2014,Comenius,Special Needs School,General Education School System,Municipal,16,165
2014,Salzmann,Special Needs School,General Education School System,Municipal,15,168
2014,Kästner,Special Needs School,General Education School System,Municipal,11,115
2014,Anne Frank,Special Needs School,General Education School System,Municipal,10,107
2014,Fermersl. Weg,Special Needs School,General Education School System,Municipal,15,116
2014,Makarenkoschule,Special Needs School,General Education School System,Municipal,14,112
2014,Regenbogen,Special Needs School,General Education School System,Municipal,14,96
2014,Am Wasserfall,Special Needs School,General Education School System,Municipal,15,104
2014,H. Kükelhaus,Special Needs School,General Education School System,Municipal,12,89
2014,"BbS ""O. v. Guericke"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,116,2100
2014,"BbS ""H. Beims"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,58,940
2014,"BbS ""Eike v. Repgow"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,98,1884
2014,"BbS ""Dr. O. Schlein"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,14,255
