Year,Institution,Origin,Students_Total,Students_Male,Students_Female,First_Semester_Total,First_Semester_Male,First_Semester_Female
2024,Otto von Guericke University Magdeburg,Belarus,11,6,5,4,,
2024,Otto von Guericke University Magdeburg,Belgium,,0,0,0,0,0
2024,Otto von Guericke University Magdeburg,Bolivia,3,,,0,0,0
2024,Otto von Guericke University Magdeburg,Bosnia and Herzegovina,4,0,4,,,
2024,Otto von Guericke University Magdeburg,Brazil,22,9,13,11,3,8
2024,Otto von Guericke University Magdeburg,Bulgaria,24,10,14,6,,
2024,Otto von Guericke University Magdeburg,Burundi,,0,0,0,0,0
2024,Otto von Guericke University Magdeburg,Chile,4,,,0,0,0
2024,Otto von Guericke University Magdeburg,Costa Rica,,,,0,0,0
2024,Otto von Guericke University Magdeburg,Denmark,,,,0,0,0
2024,Otto von Guericke University Magdeburg,Dominica,,0,0,0,0,0
2024,Otto von Guericke University Magdeburg,Ecuador,4,,,0,0,0
2024,Otto von Guericke University Magdeburg,Estonia,,0,0,,0,0
2024,Otto von Guericke University Magdeburg,Eswatini,,,,0,0,0
2024,Otto von Guericke University Magdeburg,Finland,,,,0,0,0
2024,Otto von Guericke University Magdeburg,France,6,,,,0,0
2024,Otto von Guericke University Magdeburg,Gambia,,0,0,0,0,0
2024,Otto von Guericke University Magdeburg,Georgia,5,,,0,0,0
2024,Otto von Guericke University Magdeburg,Ghana,13,8,5,,0,0
2024,Otto von Guericke University Magdeburg,Greece,16,9,7,3,0,0
2024,Otto von Guericke University Magdeburg,Guatemala,,0,0,,0,0
2024,Otto von Guericke University Magdeburg,Honduras,,0,0,,0,0
2024,Otto von Guericke University Magdeburg,Hong Kong,,0,0,0,0,0
2024,Otto von Guericke University Magdeburg,India,1948,1461,487,452,339,113
2024,Otto von Guericke University Magdeburg,Indonesia,27,13,14,8,4,4
2024,Otto von Guericke University Magdeburg,Iraq,17,8,9,,,
2024,Otto von Guericke University Magdeburg,Iran,178,71,107,48,22,26
2024,Otto von Guericke University Magdeburg,Israel,7,,,,,
2024,Otto von Guericke University Magdeburg,Italy,29,12,17,10,3,7
2024,Otto von Guericke University Magdeburg,Japan,12,5,7,10,3,7
2024,Otto von Guericke University Magdeburg,Yemen,25,0,0,,0,0
2024,Otto von Guericke University Magdeburg,Jordan,55,48,7,13,,
2024,Otto von Guericke University Magdeburg,Cameroon,35,10,25,10,3,7
2024,Otto von Guericke University Magdeburg,Canada,,,,,,
2024,Otto von Guericke University Magdeburg,Kazakhstan,10,5,5,4,,
2024,Otto von Guericke University Magdeburg,Kenya,6,,,4,,
2024,Otto von Guericke University Magdeburg,Kyrgyzstan,,,,0,0,0
2024,Otto von Guericke University Magdeburg,Colombia,26,11,15,3,,
2024,Otto von Guericke University Magdeburg,Kosovo,6,3,3,5,,
2024,Otto von Guericke University Magdeburg,Croatia,3,,,,0,0
2024,Otto von Guericke University Magdeburg,Cuba,,0,0,0,0,0
2024,Otto von Guericke University Magdeburg,Latvia,3,0,3,0,0,0
2024,Otto von Guericke University Magdeburg,Lebanon,16,10,6,6,3,3
2024,Otto von Guericke University Magdeburg,Libya,4,,,0,0,0
2024,Otto von Guericke University Magdeburg,Lithuania,5,,,,0,0
2024,Otto von Guericke University Magdeburg,Luxembourg,3,,,,,
2024,Otto von Guericke University Magdeburg,North Macedonia,,,,0,0,0
2024,Otto von Guericke University Magdeburg,Malaysia,5,,,3,,
2024,Otto von Guericke University Magdeburg,Morocco,49,35,14,11,,
2024,Otto von Guericke University Magdeburg,Mauritius,17,9,8,9,5,4
2024,Otto von Guericke University Magdeburg,Mexico,33,20,13,11,6,5
2024,Otto von Guericke University Magdeburg,Mongolia,5,,,0,0,0
2024,Otto von Guericke University Magdeburg,Mozambique,,0,0,0,0,0
2024,Otto von Guericke University Magdeburg,Myanmar,5,,,3,0,0
2024,Otto von Guericke University Magdeburg,Nepal,34,17,17,6,,
2024,Otto von Guericke University Magdeburg,Nicaragua,,,,,,
2024,Otto von Guericke University Magdeburg,Netherlands,3,0,3,,,
2024,Otto von Guericke University Magdeburg,Nigeria,37,28,9,3,,
2024,Otto von Guericke University Magdeburg,Austria,14,4,10,4,,
2024,Otto von Guericke University Magdeburg,Pakistan,394,325,69,109,82,27
2024,Otto von Guericke University Magdeburg,Palestinian Territories,13,,,,0,0
2024,Otto von Guericke University Magdeburg,Peru,7,4,3,,,
2024,Otto von Guericke University Magdeburg,Philippines,4,,,,0,0
2024,Otto von Guericke University Magdeburg,Poland,14,5,9,5,,
2024,Otto von Guericke University Magdeburg,Portugal,11,7,4,7,,
2024,Otto von Guericke University Magdeburg,Moldova,5,,,,,
2024,Otto von Guericke University Magdeburg,Romania,14,9,5,3,0,0
2024,Otto von Guericke University Magdeburg,Russia,82,38,44,18,8,10
2024,Otto von Guericke University Magdeburg,Saudi Arabia,,,,0,0,0
2024,Otto von Guericke University Magdeburg,Sweden,,0,0,0,0,0
2024,Otto von Guericke University Magdeburg,Switzerland,,,,,,
2024,Otto von Guericke University Magdeburg,Serbia,9,3,6,3,,
2024,Otto von Guericke University Magdeburg,Zimbabwe,8,3,5,6,,
2024,Otto von Guericke University Magdeburg,Slovakia,3,,,,,
2024,Otto von Guericke University Magdeburg,Slovenia,,,,0,0,0
2024,Otto von Guericke University Magdeburg,Somalia,,,,0,0,0
2024,Otto von Guericke University Magdeburg,Spain,18,7,11,4,,
2024,Otto von Guericke University Magdeburg,Sri Lanka,10,7,3,,,
2024,Otto von Guericke University Magdeburg,Stateless,,0,0,0,0,0
2024,Otto von Guericke University Magdeburg,Sudan,7,0,0,,0,0
2024,Otto von Guericke University Magdeburg,South Korea,18,6,12,10,3,7
2024,Otto von Guericke University Magdeburg,South Sudan,,,,,,
2024,Otto von Guericke University Magdeburg,Tajikistan,3,0,0,0,0,0
2024,Otto von Guericke University Magdeburg,Taiwan,14,4,10,10,3,7
2024,Otto von Guericke University Magdeburg,Thailand,8,,,3,,
2024,Otto von Guericke University Magdeburg,Czech Republic,5,,,,,
2024,Otto von Guericke University Magdeburg,Tunisia,35,22,13,6,3,3
2024,Otto von Guericke University Magdeburg,Turkey,101,45,56,28,14,14
2024,Otto von Guericke University Magdeburg,Turkmenistan,,,,0,0,0
2024,Otto von Guericke University Magdeburg,Uganda,5,,,,,
2024,Otto von Guericke University Magdeburg,Ukraine,194,110,84,67,45,22
2024,Otto von Guericke University Magdeburg,Hungary,6,,,3,0,3
2024,Otto von Guericke University Magdeburg,Unresolved/Unclear,,0,0,0,0,0
2024,Otto von Guericke University Magdeburg,Uzbekistan,9,6,3,,0,0
2024,Otto von Guericke University Magdeburg,Venezuela,,,,0,0,0
2024,Otto von Guericke University Magdeburg,United Arab Emirates,,0,0,0,0,0
2024,Otto von Guericke University Magdeburg,United States,26,13,13,11,6,5
2024,Otto von Guericke University Magdeburg,United Kingdom,4,,,3,,
2024,Otto von Guericke University Magdeburg,Vietnam,73,30,43,24,4,20
2024,Otto von Guericke University Magdeburg,China,196,89,107,39,16,23
2024,Otto von Guericke University Magdeburg,Cyprus,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Saxony-Anhalt,2840,1417,1423,649,317,332
2023,Magdeburg-Stendal University of Applied Sciences,German Citizenship outside Saxony-Anhalt,2395,1134,1261,479,238,241
2023,Magdeburg-Stendal University of Applied Sciences,Afghanistan,11,,,5,5,0
2023,Magdeburg-Stendal University of Applied Sciences,Egypt,9,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Albania,,,,0,0,0
