Year,Statistical_District,Male,Female,Total
2024,Großer Werder,232,248,480
2024,Universitätsviertel,1013,643,1656
2024,Nordfront,1426,1136,2562
2024,Nordpark,1004,1086,2090
2024,Hohepfortestraße,2447,2375,4822
2024,Neustädter Bahnhof,315,252,567
2024,Wissenschaftshafen,285,164,449
2024,Nicolaiplatz,2420,2388,4808
2024,Moritzplatz,3229,2716,5945
2024,Insleber Straße/Münchenhofstraße,589,373,962
2024,Gröperstraße/Nachtweide,230,144,374
2024,Ohrestraße,179,151,330
2024,Curiesiedlung,1676,1736,3412
2024,Vogelgesang,. ,. ,7
2024,Klosterwuhne,198,207,405
2024,Neustädter Platz,3002,3346,6348
2024,Barleber Straße/Lumumbastraße,2186,2020,4206
2024,Eichenweiler,392,415,807
2024,Neustädter See,8,6,14
2024,Ziolkowskistraße,49,57,106
2024,Barro-See,24,21,45
2024,Hanns-Eisler-Platz/Kannenstieg,2703,2823,5526
2024,Danziger Dorf,223,245,468
2024,Sülzeanger,122,132,254
2024,Gewerbegebiet Neuer Sülzeweg,. ,. ,. 
2024,Neustädter Feld West,1714,1797,3511
2024,Neustädter Feld Ost,1253,1364,2617
2024,Birkenweiler,512,555,1067
2024,Meseberger Weg/Milchweg,1240,1169,2409
2024,Kleiner Silberberg,24,22,46
2024,Milchhof,0,0,0
2024,Sülzegrund Nord,. ,. ,7
2024,Großer Silberberg,0,0,0
2024,Junkerssiedlung,1252,1379,2631
2024,Schäferbrunnen,559,590,1149
2024,Steinkuhle,359,361,720
2024,Lorenzweg/An der Steinkuhle,. ,0,. 
2024,Alt Olvenstedt Dorf,615,613,1228
2024,Weizengrund,293,324,617
2024,Siedlung Birkenallee,377,403,780
2024,Agrarstraße,18,24,42
2024,Olvenstedter Röthe,575,562,1137
2024,Gneisenauring,2409,2593,5002
2024,Marktbreite,1162,1174,2336
2024,Sternbogen,1808,1672,3480
2024,Fliedergrund,194,227,421
2024,Düppler Mühle,375,385,760
2024,Bördegarten,24,28,52
2024,Krankenhaus Olvenstedt,0,0,0
2024,Damaschkeplatz,418,419,837
2024,Adelheidring,1230,1348,2578
2024,Schellheimerplatz,2701,2583,5284
2024,St.Pauli/Alexander-Puschkin-Straße,1705,1599,3304
2024,Olvenstedter Platz,4010,4194,8204
2024,Westernplan,2120,2345,4465
2024,Albert-Vater-Straße,95,90,185
2024,Fort V,74,82,156
2024,Schlachthof,126,156,282
2024,Westfriedhof,0,0,0
2024,Beimssiedlung,1413,1700,3113
2024,Spielhagensiedlung,910,1066,1976
2024,Pestalozzistraße,1163,1332,2495
2024,Schroteanger,937,1019,1956
2024,Marienstift,79,151,230
2024,Lindenweiler,1256,1398,2654
2024,Harsdorfer Berg,374,399,773
2024,Kümmelsberg,249,240,489
2024,Liebknechtstraße,389,370,759
2024,Alt Diesdorf,425,445,870
2024,Niederndodeleber Straße,601,604,1205
2024,Hohendodeleber Weg,747,736,1483
2024,Umspannwerk,266,252,518
2024,Junkerberg,0,0,0
2024,Sudenburger Bahnhof,12,11,23
2024,Am Glacis,396,327,723
2024,Jordanstraße,792,839,1631
2024,Wormser Platz,2358,2110,4468
2024,Fichtestraße/Ambrosiusplatz,1796,1719,3515
2024,Salzmannstraße,1379,1182,2561
2024,Kroatenhügel,1063,1221,2284
2024,Friedenshöhe,529,625,1154
2024,Fabriciusstraße,654,696,1350
2024,Otto-Richter-Straße,405,371,776
2024,Alt Ottersleben,1071,1116,2187
2024,Benneckenbeck,433,429,862
2024,Osterweddinger Siedlung,589,611,1200
2024,Frankefelde,1282,1366,2648
2024,Klein Ottersleben,380,395,775
2024,Thauberg,1151,1267,2418
2024,Halberstädter Chaussee,83,83,166
2024,Werner-von-Siemens-Ring,. ,. ,9
2024,Eulegraben,0,0,0
2024,Alt Lemsdorf,589,571,1160
2024,Kleiner Harz,264,292,556
2024,Goslarer Straße,81,78,159
2024,Ballenstedter Straße,168,171,339
2024,Helmholtzstraße,1864,1867,3731
2024,Kristallpalast,582,644,1226
2024,Semmelweisstraße,1390,1678,3068
2024,Fermersleber Weg,257,264,521
2024,Universitätsklinikum,89,152,241
2024,Schilfbreite,3076,2984,6060
2024,Insel,884,752,1636
2024,Alt Reform,949,1042,1991
2024,Quittenweg,886,1013,1899
2024,Neu Reform,2633,3223,5856
2024,Planeten- und SKL-Siedlung,734,731,1465
2024,Bördecenter,301,285,586
2024,Hopfengarten,894,922,1816
2024,Lindenhof,594,547,1141
2024,Fauler Grund,760,720,1480
2024,Flugplatz,. ,. ,6
2024,Großer Wiesengraben,4,0,4
2024,Engpaß,2188,2013,4201
2024,Bleckenburgstraße/Jahnring,951,1073,2024
2024,Klosterbergegarten,0,0,0
2024,Gewerbegebiet Buckau,360,371,731
2024,Siedlung Fermersleben,1110,1074,2184
2024,Alt Fermersleben,788,647,1435
2024,Salbker Seen,4,4,8
2024,Alt Salbke,742,584,1326
2024,Unterhorstweg,994,791,1785
2024,Gewerbegebiet Salbke,27,24,51
2024,Lüttgen-Salbke,612,612,1224
2024,Friedrich-List-Straße,6,7,13
2024,Am Spionskopf,170,148,318
2024,Fahlberg List,0,0,0
2024,Sohlener Berge,1,2,3
2024,Alt Westerhüsen,440,392,832
2024,Wohngebiet Welsleber Straße,532,530,1062
2024,Gewerbegebiet Welsleber Straße,171,190,361
2024,Westerhüsener Park,457,474,931
2024,Neue Siedlung,70,75,145
2024,Frohser Berg,. ,0,. 
2024,Heumarkt,620,659,1279
2024,Dessauer Straße,945,1028,1973
2024,Gübser Weg,118,109,227
2024,Steinwiese,384,359,743
2024,Puppendorf,268,271,539
2024,Neugrüneberg,385,383,768
2024,Stadion Neue Welt,13,7,20
2024,Friedensweiler,162,177,339
2024,Berliner Chaussee,25,22,47
2024,Alt Cracau,1542,1684,3226
2024,Siedlung Cracau,1535,1645,3180
2024,Wiesengrund/Zur Pappel,662,743,1405
2024,Stadion,18,10,28
2024,Prester,1006,1000,2006
2024,Prestersee,. ,. ,5
2024,Zipkeleben,152,138,290
2024,Kreuzhorst,0,0,0
2024,Cracauer Anger,780,581,1361
2024,Herrenkrug/Biederitzer Busch,12,11,23
2024,Alt Rothensee,980,964,1944
2024,Hillersleber Straße,286,239,525
2024,Siedlung Rothensee,296,316,612
2024,Gewerbegebiet Windmühlenstraße,26,33,59
2024,Bahnhof Rothensee,15,8,23
2024,Industriehafen,286,25,311
2024,Hafen,0,0,0
2024,August-Bebel-Damm,8,6,14
2024,Barleber Wiese,0,0,0
2024,Barleber See I,. ,. ,7
2024,Barleber See II,0,0,0
2024,Schiffshebewerk,36,37,73
2024,Autobahnanschlußstelle,0,0,0
2024,Schrote/Autobahn,0,0,0
2024,Pechau,266,261,527
2024,Randau,236,220,456
2024,Calenberge,43,47,90
2024,Beyendorf,332,339,671
2024,Sohlen,310,291,601
2024,Magdeburg,122343,123178,245521
2023,Rathausviertel,1952,2071,4023
2023,Jakobstraße,953,1152,2105
2023,Krökentorviertel/Breiter Weg NA,1698,1760,3458
2023,Bahnhofsviertel,679,728,1407
2023,Hasselbachplatzviertel,1976,1824,3800
2023,Sternviertel,953,873,1826
2023,Werder,1166,1234,2400
2023,Rotehorn,57,44,101
2023,Großer Werder,234,246,480
2023,Universitätsviertel,932,600,1532
2023,Nordfront,1378,1097,2475
2023,Nordpark,1001,1080,2081
2023,Hohepfortestraße,2442,2378,4820
2023,Neustädter Bahnhof,300,230,530
2023,Wissenschaftshafen,248,169,417
2023,Nicolaiplatz,2372,2376,4748
2023,Moritzplatz,3093,2692,5785
2023,Insleber Straße/Münchenhofstraße,578,355,933
2023,Gröperstraße/Nachtweide,213,140,353
2023,Ohrestraße,171,151,322
2023,Curiesiedlung,1652,1718,3370
2023,Vogelgesang,. ,. ,7
2023,Klosterwuhne,208,214,422
2023,Neustädter Platz,2928,3291,6219
2023,Barleber Straße/Lumumbastraße,2116,2045,4161
2023,Eichenweiler,402,415,817
2023,Neustädter See,5,5,10
2023,Ziolkowskistraße,47,55,102
2023,Barro-See,22,19,41
2023,Hanns-Eisler-Platz/Kannenstieg,2578,2774,5352
2023,Danziger Dorf,233,261,494
2023,Sülzeanger,114,138,252
2023,Gewerbegebiet Neuer Sülzeweg,. ,. ,. 
2023,Neustädter Feld West,1723,1764,3487
2023,Neustädter Feld Ost,1252,1355,2607
2023,Birkenweiler,509,554,1063
2023,Meseberger Weg/Milchweg,1247,1181,2428
2023,Kleiner Silberberg,24,22,46
2023,Milchhof,0,0,0
2023,Sülzegrund Nord,. ,. ,7
2023,Großer Silberberg,0,0,0
2023,Junkerssiedlung,1249,1388,2637
2023,Schäferbrunnen,575,592,1167
2023,Steinkuhle,361,354,715
2023,Lorenzweg/An der Steinkuhle,. ,0,. 
2023,Alt Olvenstedt Dorf,618,615,1233
2023,Weizengrund,294,322,616
2023,Siedlung Birkenallee,392,413,805
2023,Agrarstraße,19,25,44
2023,Olvenstedter Röthe,575,569,1144
2023,Gneisenauring,2393,2611,5004
2023,Marktbreite,1127,1142,2269
2023,Sternbogen,1764,1668,3432
2023,Fliedergrund,203,232,435
2023,Düppler Mühle,376,392,768
2023,Bördegarten,23,29,52
2023,Krankenhaus Olvenstedt,0,0,0
2023,Damaschkeplatz,410,405,815
2023,Adelheidring,1221,1367,2588
2023,Schellheimerplatz,2643,2608,5251
2023,St.Pauli/Alexander-Puschkin-Straße,1696,1632,3328
2023,Olvenstedter Platz,3993,4199,8192
2023,Westernplan,2120,2326,4446
2023,Albert-Vater-Straße,94,81,175
2023,Fort V,79,86,165
2023,Schlachthof,115,147,262
2023,Westfriedhof,0,0,0
2023,Beimssiedlung,1396,1700,3096
2023,Spielhagensiedlung,939,1074,2013
2023,Pestalozzistraße,1160,1323,2483
2023,Schroteanger,947,1033,1980
2023,Marienstift,79,143,222
2023,Lindenweiler,1259,1416,2675
2023,Harsdorfer Berg,382,389,771
2023,Kümmelsberg,256,248,504
2023,Liebknechtstraße,374,360,734
2023,Alt Diesdorf,434,461,895
2023,Niederndodeleber Straße,591,612,1203
2023,Hohendodeleber Weg,764,749,1513
2023,Umspannwerk,189,165,354
2023,Junkerberg,0,0,0
2023,Sudenburger Bahnhof,14,16,30
2023,Am Glacis,340,332,672
2023,Jordanstraße,824,852,1676
2023,Wormser Platz,2227,2093,4320
2023,Fichtestraße/Ambrosiusplatz,1768,1642,3410
2023,Salzmannstraße,1368,1209,2577
2023,Kroatenhügel,1066,1262,2328
2023,Friedenshöhe,538,626,1164
2023,Fabriciusstraße,654,709,1363
2023,Otto-Richter-Straße,405,385,790
2023,Alt Ottersleben,1076,1127,2203
2023,Benneckenbeck,437,430,867
2023,Osterweddinger Siedlung,588,623,1211
2023,Frankefelde,1282,1352,2634
2023,Klein Ottersleben,389,387,776
2023,Thauberg,1148,1269,2417
2023,Halberstädter Chaussee,95,96,191
2023,Werner-von-Siemens-Ring,. ,. ,11
2023,Eulegraben,0,0,0
2023,Alt Lemsdorf,601,567,1168
2023,Kleiner Harz,257,292,549
2023,Goslarer Straße,75,78,153
2023,Ballenstedter Straße,159,166,325
2023,Helmholtzstraße,1839,1834,3673
2023,Kristallpalast,551,655,1206
2023,Semmelweisstraße,1358,1648,3006
2023,Fermersleber Weg,245,257,502
2023,Universitätsklinikum,98,162,260
2023,Schilfbreite,2953,3003,5956
2023,Insel,825,670,1495
2023,Alt Reform,942,1044,1986
2023,Quittenweg,904,1044,1948
2023,Neu Reform,2642,3229,5871
2023,Planeten- und SKL-Siedlung,732,722,1454
2023,Bördecenter,311,290,601
2023,Hopfengarten,908,931,1839
2023,Lindenhof,591,551,1142
2023,Fauler Grund,758,722,1480
2023,Flugplatz,. ,. ,7
2023,Großer Wiesengraben,4,0,4
2023,Engpaß,2089,1974,4063
2023,Bleckenburgstraße/Jahnring,960,1069,2029
2023,Klosterbergegarten,0,0,0
2023,Gewerbegebiet Buckau,328,332,660
2023,Siedlung Fermersleben,1092,1052,2144
2023,Alt Fermersleben,778,656,1434
2023,Salbker Seen,4,4,8
2023,Alt Salbke,696,573,1269
2023,Unterhorstweg,985,786,1771
2023,Gewerbegebiet Salbke,22,22,44
2023,Lüttgen-Salbke,603,608,1211
2023,Friedrich-List-Straße,5,7,12
2023,Am Spionskopf,170,148,318
2023,Fahlberg List,0,0,0
2023,Sohlener Berge,. ,. ,. 
2023,Alt Westerhüsen,457,406,863
2023,Wohngebiet Welsleber Straße,532,516,1048
2023,Gewerbegebiet Welsleber Straße,163,175,338
2023,Westerhüsener Park,465,485,950
2023,Neue Siedlung,72,70,142
2023,Frohser Berg,. ,. ,5
2023,Heumarkt,587,615,1202
2023,Dessauer Straße,924,1047,1971
2023,Gübser Weg,112,106,218
2023,Steinwiese,369,345,714
2023,Puppendorf,276,276,552
2023,Neugrüneberg,388,390,778
2023,Stadion Neue Welt,14,8,22
2023,Friedensweiler,168,186,354
2023,Berliner Chaussee,23,22,45
2023,Alt Cracau,1559,1699,3258
2023,Siedlung Cracau,1586,1679,3265
2023,Wiesengrund/Zur Pappel,664,735,1399
2023,Stadion,17,7,24
2023,Prester,1012,1007,2019
2023,Prestersee,. ,0,. 
2023,Zipkeleben,152,138,290
2023,Kreuzhorst,0,0,0
2023,Cracauer Anger,840,578,1418
2023,Herrenkrug/Biederitzer Busch,10,12,22
2023,Alt Rothensee,992,949,1941
2023,Hillersleber Straße,289,235,524
2023,Siedlung Rothensee,255,256,511
2023,Gewerbegebiet Windmühlenstraße,29,33,62
2023,Bahnhof Rothensee,18,10,28
2023,Industriehafen,279,27,306
2023,Hafen,0,0,0
2023,August-Bebel-Damm,12,8,20
2023,Barleber Wiese,0,0,0
2023,Barleber See I,. ,. ,7
2023,Barleber See II,0,0,0
2023,Schiffshebewerk,36,39,75
2023,Autobahnanschlußstelle,0,0,0
2023,Schrote/Autobahn,0,0,0
2023,Pechau,271,261,532
2023,Randau,236,227,463
2023,Calenberge,45,48,93
2023,Beyendorf,333,332,665
2023,Sohlen,306,285,591
2023,Magdeburg,120795,122624,243419
2022,Rathausviertel,1986,2133,4119
2022,Jakobstraße,941,1176,2117
2022,Krökentorviertel/Breiter Weg NA,1710,1804,3514
2022,Bahnhofsviertel,616,696,1312
2022,Hasselbachplatzviertel,1976,1838,3814
2022,Sternviertel,933,879,1812
2022,Werder,1206,1237,2443
2022,Rotehorn,57,43,100
2022,Großer Werder,236,245,481
2022,Universitätsviertel,934,578,1512
2022,Nordfront,1317,1117,2434
2022,Nordpark,981,1076,2057
2022,Hohepfortestraße,2440,2424,4864
2022,Neustädter Bahnhof,318,231,549
2022,Wissenschaftshafen,248,154,402
2022,Nicolaiplatz,2333,2366,4699
2022,Moritzplatz,3006,2635,5641
2022,Insleber Straße/Münchenhofstraße,527,348,875
2022,Gröperstraße/Nachtweide,205,121,326
2022,Ohrestraße,171,155,326
2022,Curiesiedlung,1680,1765,3445
2022,Vogelgesang,. ,. ,8
2022,Klosterwuhne,215,225,440
2022,Neustädter Platz,2883,3252,6135
2022,Barleber Straße/Lumumbastraße,2060,2020,4080
2022,Eichenweiler,401,420,821
2022,Neustädter See,6,7,13
2022,Ziolkowskistraße,48,59,107
2022,Barro-See,22,18,40
2022,Hanns-Eisler-Platz/Kannenstieg,2541,2794,5335
2022,Danziger Dorf,225,261,486
2022,Sülzeanger,106,148,254
2022,Gewerbegebiet Neuer Sülzeweg,. ,. ,. 
2022,Neustädter Feld West,1730,1747,3477
2022,Neustädter Feld Ost,1242,1373,2615
2022,Birkenweiler,513,568,1081
2022,Meseberger Weg/Milchweg,1257,1203,2460
2022,Kleiner Silberberg,24,22,46
2022,Milchhof,0,0,0
2022,Sülzegrund Nord,5,5,10
2022,Großer Silberberg,0,0,0
2022,Junkerssiedlung,1249,1391,2640
2022,Schäferbrunnen,565,580,1145
2022,Steinkuhle,358,352,710
2022,Lorenzweg/An der Steinkuhle,. ,. ,4
2022,Alt Olvenstedt Dorf,633,631,1264
2022,Weizengrund,301,322,623
